,SDS,SCL-90,CES-D,CDI,DSRSC,BDI-I,MSSMHS,BDI-II,PHQ-9,DASS-21,CBCL_boy,CBCL_girl,MFQ-C,CSSDS,CES-D-C,ADI,BSRS-5,CES-D-13,CEPS,DSI,HADS,HAMD,Ji_2005,KADS-11,Sakuma_2010,SMFQ,UPI,CSSMHS
SDS,,0.15,0.13,0.26,0.21,0.36,0.06,0.32,0.32,0.13,0.09,0.06,0.27,0.13,0.16,0.22,0.14,0.09,0.07,0.72,0.07,0.28,0.04,0.42,0.06,0.15,0.17,0.16
SCL-90,0.15,,0.14,0.15,0.14,0.29,0.54,0.29,0.1,0.24,0.17,0.12,0.22,0.19,0.15,0.23,0.43,0.15,0.06,0.2,0.13,0.15,0.07,0.13,0.11,0.24,0.17,0.1
CES-D,0.13,0.14,,0.28,0.39,0.27,0.18,0.27,0.15,0.17,0.32,0.3,0.41,0.32,0.71,0.32,0.08,0.53,0.1,0.12,0.15,0.21,0.11,0.11,0.24,0.45,0.21,0.12
CDI,0.26,0.15,0.28,,0.24,0.34,0.15,0.28,0.28,0.05,0.23,0.19,0.45,0.16,0.29,0.29,0.11,0.17,0.06,0.3,0.06,0.2,0.06,0.23,0.11,0.25,0.21,0.08
DSRSC,0.21,0.14,0.39,0.24,,0.23,0.13,0.23,0.22,0.22,0.17,0.13,0.31,0.31,0.23,0.38,0.08,0.25,0.04,0.23,0.14,0.2,0.1,0.21,0.13,0.32,0.13,0.2
BDI-I,0.36,0.29,0.27,0.34,0.23,,0.2,0.64,0.2,0.19,0.29,0.21,0.4,0.21,0.25,0.32,0.2,0.14,0.08,0.33,0.13,0.24,0.04,0.16,0.11,0.24,0.31,0.06
MSSMHS,0.06,0.54,0.18,0.15,0.13,0.2,,0.2,0.04,0.15,0.16,0.07,0.18,0.14,0.2,0.17,0.4,0.21,0,0.09,0.1,0.08,0.13,0.04,0.17,0.25,0.16,0.06
BDI-II,0.32,0.29,0.27,0.28,0.23,0.64,0.2,,0.31,0.24,0.22,0.15,0.4,0.17,0.29,0.29,0.25,0.18,0.13,0.41,0.13,0.22,0.04,0.19,0.11,0.24,0.41,0.06
PHQ-9,0.32,0.1,0.15,0.28,0.22,0.2,0.04,0.31,,0.08,0.05,0.02,0.29,0.19,0.13,0.17,0.08,0.12,0,0.55,0.1,0.21,0,0.54,0.04,0.14,0.26,0.16
DASS-21,0.13,0.24,0.17,0.05,0.22,0.19,0.15,0.24,0.08,,0.11,0.1,0.1,0.24,0.14,0.1,0.36,0.2,0.2,0.12,0.33,0.14,0.11,0.12,0.15,0.24,0.21,0.2
