"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26"
"s1",0,0.45,0.238095238095238,0.447368421052632,0.208333333333333,0.30952380952381,0.4,0.222222222222222,0.121212121212121,0.294117647058824,0.342857142857143,0.210526315789474,0.236842105263158,0.444444444444444,0.21875,0.142857142857143,0.264705882352941,0.111111111111111,0.205128205128205,0.137931034482759,0.142857142857143,0.142857142857143,0.1,0.0344827586206897,0.037037037037037,0.037037037037037
"s2",0.45,0,0.234042553191489,0.386363636363636,0.207547169811321,0.297872340425532,0.27906976744186,0.162790697674419,0.102564102564103,0.162790697674419,0.261904761904762,0.209302325581395,0.204545454545455,0.25,0.153846153846154,0.121951219512195,0.289473684210526,0.0588235294117647,0.232558139534884,0.0833333333333333,0.117647058823529,0.0857142857142857,0.114285714285714,0.0588235294117647,0.0625,0.0625
"s3",0.238095238095238,0.234042553191489,0,0.341463414634146,0.288888888888889,0.774193548387097,0.361111111111111,0.1,0.0571428571428571,0.128205128205128,0.175,0.0454545454545455,0.0681818181818182,0.114285714285714,0.147058823529412,0.0810810810810811,0.264705882352941,0.0714285714285714,0.424242424242424,0.137931034482759,0.0666666666666667,0.103448275862069,0.0645161290322581,0.0714285714285714,0.037037037037037,0.037037037037037
"s4",0.447368421052632,0.386363636363636,0.341463414634146,0,0.244897959183673,0.318181818181818,0.238095238095238,0.305555555555556,0.212121212121212,0.382352941176471,0.351351351351351,0.256410256410256,0.282051282051282,0.4,0.166666666666667,0.194444444444444,0.352941176470588,0.137931034482759,0.388888888888889,0.125,0.09375,0.129032258064516,0.125,0.03125,0.0333333333333333,0.0333333333333333
"s5",0.208333333333333,0.207547169811321,0.288888888888889,0.244897959183673,0,0.297872340425532,0.195652173913043,0.0204081632653061,0.075,0.162790697674419,0.204545454545455,0.238095238095238,0.232558139534884,0.216216216216216,0.153846153846154,0.15,0.195121951219512,0.125,0.292682926829268,0.147058823529412,0.0857142857142857,0.0857142857142857,0.147058823529412,0.0909090909090909,0.0625,0.0625
"s6",0.30952380952381,0.297872340425532,0.774193548387097,0.318181818181818,0.297872340425532,0,0.405405405405405,0.0930232558139535,0.0810810810810811,0.146341463414634,0.219512195121951,0.0425531914893617,0.0638297872340425,0.135135135135135,0.2,0.075,0.4375,0.1,0.470588235294118,0.0909090909090909,0.09375,0.129032258064516,0.0588235294117647,0.03125,0.0333333333333333,0.0333333333333333
"s7",0.4,0.27906976744186,0.361111111111111,0.238095238095238,0.195652173913043,0.405405405405405,0,0.171428571428571,0.133333333333333,0.171428571428571,0.222222222222222,0.131578947368421,0.128205128205128,0.241379310344828,0.285714285714286,0.193548387096774,0.290322580645161,0.125,0.189189189189189,0.304347826086957,0.208333333333333,0.16,0.111111111111111,0.125,0.0416666666666667,0.0416666666666667
"s8",0.222222222222222,0.162790697674419,0.1,0.305555555555556,0.0204081632653061,0.0930232558139535,0.171428571428571,0,0.45,0.2,0.147058823529412,0.151515151515152,0.147058823529412,0.192307692307692,0.24,0.391304347826087,0.09375,0.0476190476190476,0.0833333333333333,0.0869565217391304,0.2,0.142857142857143,0.0869565217391304,0,0.0526315789473684,0.0526315789473684
"s9",0.121212121212121,0.102564102564103,0.0571428571428571,0.212121212121212,0.075,0.0810810810810811,0.133333333333333,0.45,0,0.208333333333333,0.230769230769231,0.148148148148148,0.142857142857143,0.2,0.2,0.666666666666667,0.12,0.153846153846154,0.103448275862069,0.125,0.214285714285714,0.214285714285714,0.2,0.0714285714285714,0.181818181818182,0.181818181818182
"s10",0.294117647058824,0.162790697674419,0.128205128205128,0.382352941176471,0.162790697674419,0.146341463414634,0.171428571428571,0.2,0.208333333333333,0,0.344827586206897,0.1875,0.21875,0.409090909090909,0.192307692307692,0.185185185185185,0.129032258064516,0.157894736842105,0.258064516129032,0.19047619047619,0.0909090909090909,0.142857142857143,0.0869565217391304,0,0.0526315789473684,0.0526315789473684
"s11",0.342857142857143,0.261904761904762,0.175,0.351351351351351,0.204545454545455,0.219512195121951,0.222222222222222,0.147058823529412,0.230769230769231,0.344827586206897,0,0.205882352941176,0.235294117647059,0.36,0.172413793103448,0.206896551724138,0.151515151515152,0.136363636363636,0.2,0.166666666666667,0.125,0.125,0.166666666666667,0.0416666666666667,0.0952380952380952,0.0952380952380952
"s12",0.210526315789474,0.209302325581395,0.0454545454545455,0.256410256410256,0.238095238095238,0.0425531914893617,0.131578947368421,0.151515151515152,0.148148148148148,0.1875,0.205882352941176,0,0.952380952380952,0.32,0.178571428571429,0.259259259259259,0.0571428571428571,0.0909090909090909,0.0512820512820513,0.125,0.0833333333333333,0.04,0.35,0.142857142857143,0.0476190476190476,0.0476190476190476
"s13",0.236842105263158,0.204545454545455,0.0681818181818182,0.282051282051282,0.232558139534884,0.0638297872340425,0.128205128205128,0.147058823529412,0.142857142857143,0.21875,0.235294117647059,0.952380952380952,0,0.307692307692308,0.172413793103448,0.25,0.0555555555555556,0.0869565217391304,0.0769230769230769,0.12,0.08,0.0384615384615385,0.333333333333333,0.136363636363636,0.0454545454545455,0.0454545454545455
"s14",0.444444444444444,0.25,0.114285714285714,0.4,0.216216216216216,0.135135135135135,0.241379310344828,0.192307692307692,0.2,0.409090909090909,0.36,0.32,0.307692307692308,0,0.238095238095238,0.173913043478261,0.153846153846154,0.214285714285714,0.172413793103448,0.176470588235294,0.1875,0.1875,0.176470588235294,0,0.0714285714285714,0.0714285714285714
"s15",0.21875,0.153846153846154,0.147058823529412,0.166666666666667,0.153846153846154,0.2,0.285714285714286,0.24,0.2,0.192307692307692,0.172413793103448,0.178571428571429,0.172413793103448,0.238095238095238,0,0.125,0.111111111111111,0.133333333333333,0.133333333333333,0.25,0.461538461538462,0.461538461538462,0.111111111111111,0.0625,0.0714285714285714,0.0714285714285714
"s16",0.142857142857143,0.121951219512195,0.0810810810810811,0.194444444444444,0.15,0.075,0.193548387096774,0.391304347826087,0.666666666666667,0.185185185185185,0.206896551724138,0.259259259259259,0.25,0.173913043478261,0.125,0,0.107142857142857,0.2,0.09375,0.235294117647059,0.111111111111111,0.111111111111111,0.4,0.2,0.142857142857143,0.142857142857143
"s17",0.264705882352941,0.289473684210526,0.264705882352941,0.352941176470588,0.195121951219512,0.4375,0.290322580645161,0.09375,0.12,0.129032258064516,0.151515151515152,0.0571428571428571,0.0555555555555556,0.153846153846154,0.111111111111111,0.107142857142857,0,0.105263157894737,0.407407407407407,0.0434782608695652,0.0454545454545455,0.0952380952380952,0.0434782608695652,0,0,0
