"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29"
"s1",0,5,5,12,8,13,2,12,11,4,4,3,11,5,6,11,4,3,2,23,1,2,13,1,14,2,5,6,5
"s2",5,0,4,6,4,8,7,8,3,4,5,4,7,5,4,9,6,3,1,7,1,2,6,1,4,2,5,4,2
"s3",5,4,0,11,11,9,4,9,5,4,10,10,13,9,15,13,2,10,2,5,2,3,9,2,4,5,10,6,3
"s4",12,6,11,0,10,14,5,12,11,2,10,9,18,7,11,15,4,6,2,14,2,2,11,2,10,4,9,8,3
"s5",8,4,11,10,0,8,3,8,7,5,6,5,11,9,7,15,2,6,1,9,2,3,9,2,7,3,8,4,5
"s6",13,8,9,14,8,0,5,18,7,5,10,8,14,7,8,14,5,4,2,13,1,3,11,1,6,3,7,9,2
"s7",2,7,4,5,3,5,0,5,1,2,4,2,5,3,4,6,4,3,0,3,1,1,3,1,1,2,4,3,1
"s8",12,8,9,12,8,18,5,0,10,6,8,6,14,6,9,13,6,5,3,15,1,3,10,1,7,3,7,11,2
"s9",11,3,5,11,7,7,1,10,0,2,2,1,10,6,4,8,2,3,0,17,0,2,9,0,14,1,4,7,4
"s10",4,4,4,2,5,5,2,6,2,0,3,3,3,5,3,4,4,3,2,4,1,3,5,1,3,2,4,4,3
"s11",4,5,10,10,6,10,4,8,2,3,0,19,10,6,7,12,4,5,3,5,1,2,11,1,3,7,8,7,2
"s12",3,4,10,9,5,8,2,6,1,3,19,0,8,6,7,11,3,5,3,3,1,2,10,1,2,6,7,6,2
"s13",11,7,13,18,11,14,5,14,10,3,10,8,0,10,12,17,5,6,1,13,1,3,11,1,8,3,12,9,4
"s14",5,5,9,7,9,7,3,6,6,5,6,6,10,0,7,15,3,5,0,6,1,3,8,1,8,2,9,5,6
"s15",6,4,15,11,7,8,4,9,4,3,7,7,12,7,0,10,2,9,2,5,2,2,6,2,4,4,8,6,2
"s16",11,9,13,15,15,14,6,13,8,4,12,11,17,15,10,0,5,7,2,12,2,3,17,2,11,4,10,8,5
"s17",4,6,2,4,2,5,4,6,2,4,4,3,5,3,2,5,0,2,2,4,1,2,5,1,3,2,4,5,2
"s18",3,3,10,6,6,4,3,5,3,3,5,5,6,5,9,7,2,0,2,3,2,3,6,2,4,4,5,5,2
"s19",2,1,2,2,1,2,0,3,0,2,3,3,1,0,2,2,2,2,0,1,1,1,3,1,1,3,0,3,0
"s20",23,7,5,14,9,13,3,15,17,4,5,3,13,6,5,12,4,3,1,0,1,3,14,1,16,2,5,8,5
"s21",1,1,2,2,2,1,1,1,0,1,1,1,1,1,2,2,1,2,1,1,0,1,2,2,0,1,1,2,1
"s22",2,2,3,2,3,3,1,3,2,3,2,2,3,3,2,3,2,3,1,3,1,0,4,1,2,2,3,4,3
"s23",13,6,9,11,9,11,3,10,9,5,11,10,11,8,6,17,5,6,3,14,2,4,0,2,13,5,9,11,4
"s24",1,1,2,2,2,1,1,1,0,1,1,1,1,1,2,2,1,2,1,1,2,1,2,0,0,1,1,2,1
"s25",14,4,4,10,7,6,1,7,14,3,3,2,8,8,4,11,3,4,1,16,0,2,13,0,0,1,5,6,4
"s26",2,2,5,4,3,3,2,3,1,2,7,6,3,2,4,4,2,4,3,2,1,2,5,1,1,0,3,5,1
"s27",5,5,10,9,8,7,4,7,4,4,8,7,12,9,8,10,4,5,0,5,1,3,9,1,5,3,0,6,4
"s28",6,4,6,8,4,9,3,11,7,4,7,6,9,5,6,8,5,5,3,8,2,4,11,2,6,5,6,0,3
"s29",5,2,3,3,5,2,1,2,4,3,2,2,4,6,2,5,2,2,0,5,1,3,4,1,4,1,4,3,0
