Scales,s7,s14,s4,s5,s6,s20,s22,s1,s2,s3,s8,s9,s10,s11,s12,s13,s15,s16,s17,s18,s19,s21,s23,s24,s25,s26,s27,s28
s16,0.138888889,0.394736842,0.288461538,0.4,0.30952381,0.230769231,0.31372549,0.22,0.205128205,0.317073171,0.288888889,0.173913043,0.135135135,0.260869565,0.229166667,0.386363636,0.243902439,0,0.135135135,0.184210526,0.054054054,0.083333333,0.057142857,0.222222222,0.105263158,0.263157895,0.19047619,0.125
s17,0.3,0.136363636,0.114285714,0.12,0.173913043,0.125,0.147058824,0.137931034,0.461538462,0.083333333,0.25,0.083333333,0.4,0.153846154,0.107142857,0.178571429,0.095238095,0.135135135,0,0.133333333,0.222222222,0.222222222,0.125,0.125,0.166666667,0.25,0.294117647,0.133333333
s18,0.142857143,0.217391304,0.166666667,0.291666667,0.153846154,0.083333333,0.135135135,0.090909091,0.157894737,0.526315789,0.178571429,0.115384615,0.214285714,0.178571429,0.172413793,0.2,0.529411765,0.184210526,0.133333333,0,0.166666667,0.272727273,0.2,0.153846154,0.307692308,0.277777778,0.25,0.111111111
s19,0,0,0.058823529,0.041666667,0.043478261,0.03125,0.090909091,0.071428571,0.066666667,0.095238095,0.125,0,0.375,0.125,0.12,0.034482759,0.111111111,0.054054054,0.222222222,0.166666667,0,0.142857143,0.2,0.043478261,0.375,0,0.1875,0
s21,0.111111111,0.157894737,0.058823529,0.136363636,0.142857143,0.1,0.125,0.071428571,0.142857143,0.15,0.125,0.095238095,0.375,0.08,0.076923077,0.111111111,0.111111111,0.083333333,0.222222222,0.272727273,0.142857143,0,0.2,0.090909091,0.222222222,0.214285714,0.266666667,0.272727273
s23,0.142857143,0.052631579,0.0625,0.095238095,0.047619048,0.033333333,0.0625,0.037037037,0.076923077,0.105263158,0.041666667,0,0.125,0.041666667,0.04,0.037037037,0.125,0.057142857,0.125,0.2,0.2,0.2,0,0,0.125,0.071428571,0.133333333,0.090909091
s24,0.04,0.225806452,0.209302326,0.205882353,0.111111111,0.441176471,0.3,0.4375,0.103448276,0.114285714,0.194444444,0.56,0.08,0.048780488,0.023255814,0.210526316,0.125,0.222222222,0.125,0.153846154,0.043478261,0.090909091,0,0,0.038461538,0.178571429,0.206896552,0.153846154
s25,0.083333333,0.086956522,0.114285714,0.166666667,0.08,0.058823529,0.147058824,0.064516129,0.117647059,0.238095238,0.111111111,0.04,0.166666667,0.304347826,0.24,0.1,0.210526316,0.105263158,0.166666667,0.307692308,0.375,0.222222222,0.125,0.038461538,0,0.176470588,0.294117647,0.0625
s26,0.1875,0.409090909,0.25,0.36,0.269230769,0.135135135,0.216216216,0.147058824,0.25,0.454545455,0.24137931,0.142857143,0.176470588,0.285714286,0.233333333,0.444444444,0.380952381,0.263157895,0.25,0.277777778,0,0.214285714,0.071428571,0.178571429,0.176470588,0,0.272727273,0.210526316
s27,0.166666667,0.178571429,0.205128205,0.125,0.296296296,0.189189189,0.27027027,0.171428571,0.173913043,0.214285714,0.407407407,0.259259259,0.222222222,0.225806452,0.181818182,0.28125,0.24,0.19047619,0.294117647,0.25,0.1875,0.266666667,0.133333333,0.206896552,0.294117647,0.272727273,0,0.136363636
s28,0.066666667,0.272727273,0.076923077,0.192307692,0.071428571,0.147058824,0.105263158,0.161290323,0.1,0.115384615,0.064516129,0.16,0.133333333,0.064516129,0.0625,0.125,0.083333333,0.125,0.133333333,0.111111111,0,0.272727273,0.090909091,0.153846154,0.0625,0.210526316,0.136363636,0
